bg,NA,NA.1,selected,deltalnL,p,q,sig,sigS1,summary,delCS2,pCS2,qCS2,sig2
BG10001,18):,0,1,0.200578999999834,0.5265,0.349188982159603,,,,NA,NA,NA,NA
BG10002,18):,0,1,2.05263699999978,0.0427,0.0609810576626992,,S,S,0.000380999999833875,0.978,0.584046995483837,NA
BG10009,18):,0,1,0.0670570000002044,0.7142,0.429887482278803,,,,NA,NA,NA,NA
BG10010,18):,0,1,0.62456100000054,0.2637,0.22163434449574,,,,NA,NA,NA,NA
BG10049,18):,0,1,0.00102599999991071,0.9639,0.506215696106403,,,,NA,NA,NA,NA
BG10050,18):,0,1,2.89999998130952e-05,0.9939,0.514102597151304,,,,NA,NA,NA,NA
BG10053,18):,0,1,2.53456000000006,0.0244,0.0409275321709291,C,,C,1.18125099999997,0.1243,0.186408028534115,NA
BG10054,18):,0,1,0.013929000000644,0.8674,0.48220087684585,,,,NA,NA,NA,NA
BG10057,18):,0,1,0.0738940000001094,0.7007,0.424533748628358,,,,NA,NA,NA,NA
BG10059,18):,0,1,1.32954700000118,0.103,0.113192736657021,,S,S,0.857237999998688,0.1904,0.242491487788839,NA
BG10060,18):,0,1,4.77738800000043,0.002,0.00590757261643559,C,S,CS,0.24355899999955,0.4852,0.416953906639902,NA
BG10061,18):,0,1,6.00302599999941,5e-04,0.00199186247758108,C,,C,2.80132899999990,0.0179,0.0560221687070241,NA
BG10062,18):,0,1,1.46298099999967,0.0872,0.100766954285690,,,,NA,NA,NA,NA
BG10063,18):,0,1,0.521572000000106,0.3071,0.242447319331167,,,,NA,NA,NA,NA
BG10065,18):,0,1,1.09185700000035,0.1395,0.142928771487747,,,,NA,NA,NA,NA
BG10066,18):,0,1,0.301910999999564,0.4371,0.308479602611899,,,,NA,NA,NA,NA
BG10068,18):,0,1,0.32574299999942,0.4196,0.303920613807492,,,,NA,NA,NA,NA
BG10070,18):,0,1,0.0124429999996210,0.8747,0.483923715885432,,,,NA,NA,NA,NA
BG10071,18):,0,1,0.476420000000871,0.329,0.254104741782843,,,,NA,NA,NA,NA
BG10073,18):,0,1,0.548291999999492,0.295,0.235971237766805,,,,NA,NA,NA,NA
BG10074,18):,0,1,3.82714899999974,0.0057,0.0135352913770686,C,,C,0.741828000000169,0.2232,0.266668587843370,NA
BG10075,18):,0,1,1.74357899999995,0.0618,0.078616636005906,,S,S,0.0863389999999526,0.6777,0.48062478787641,NA
BG10076,18):,0,1,1.13961100000006,0.1311,0.136738445001421,,,,NA,NA,NA,NA
BG10077,18):,0,1,1.49934099999973,0.0833,0.097942392023847,,,,NA,NA,NA,NA
BG10080,18):,0,1,5.21880899999996,0.0012,0.00397066356186654,C,S,CS,1.97230499999932,0.047,0.0980648763214202,NA
BG10083,18):,0,1,0.628149000000121,0.2624,0.22163434449574,,,,NA,NA,NA,NA
BG10085,18):,0,1,0.693450000000212,0.2389,0.209046542704931,,,,NA,NA,NA,NA
BG10086,18):,0,1,0.985994000000119,0.1602,0.157476130110683,,,,NA,NA,NA,NA
BG10087,18):,0,1,0.994306999999935,0.1585,0.156312543354669,,,,NA,NA,NA,NA
BG10091,18):,0,1,5.59237600000051,8e-04,0.00288345806278404,C,,C,-1.06225200000154,1,0.584046995483837,NA
BG10092,18):,0,1,3.45884599999999,0.0085,0.0187162641529800,C,S,CS,0.101665000000139,0.652,0.473461154094109,NA
BG10094,18):,0,1,1.99336700000003,0.0459,0.0644864321744208,,S,S,0.2670549999998,0.4649,0.414430526200665,NA
BG10095,18):,0,1,1.02484800000002,0.1522,0.15158073454392,,S,S,4.20726999999988,0.0037,0.0193701840811285,CS2
BG10096,18):,0,1,0.186263000000054,0.5416,0.356083589824979,,,,NA,NA,NA,NA
BG10097,18):,0,1,0.0501040000001467,0.7516,0.442717399608542,,,,NA,NA,NA,NA
BG10098,18):,0,1,1.43246399999998,0.0905,0.103739204417294,,,,NA,NA,NA,NA
BG10099,18):,0,1,0.329694999999447,0.4168,0.302473024164451,,,,NA,NA,NA,NA
BG10100,18):,0,1,0.00331200000005083,0.9351,0.497126903640882,,,,NA,NA,NA,NA
BG10101,18):,0,1,0.69897100000162,0.2371,0.20837483367791,,,,NA,NA,NA,NA
BG10102,18):,0,1,2.64900299999999,0.0213,0.0366412156671392,C,,C,1.61105300000008,0.0727,0.125346627364286,NA
BG10104,18):,0,1,0.0993309999998928,0.6558,0.406036889049583,,,,NA,NA,NA,NA
BG10105,18):,0,1,4.96018900000036,0.0016,0.00486855230701225,C,S,CS,1.36047499999950,0.099,0.158522548962131,NA
BG10106,18):,0,1,0.933196999999382,0.1719,0.165941174915729,,S,S,1.64517900000010,0.0697,0.122328820188028,NA
BG10107,18):,0,1,0.00354300000003605,0.9329,0.496829714707087,,,,NA,NA,NA,NA
BG10108,18):,0,1,0.00127299999996922,0.9598,0.504938349451456,,,,NA,NA,NA,NA
BG10109,18):,0,1,0.135428000000502,0.6028,0.383881957803391,,,,NA,NA,NA,NA
BG10110,18):,0,1,1.00791599999957,0.1557,0.154305119932651,,S,S,1.91165099999944,0.0505,0.100876597059968,NA
BG10111,18):,0,1,2.44254699999988,0.0271,0.0436429782853829,C,,C,2.82296400000018,0.0175,0.0560221687070241,NA
BG10113,18):,0,1,1.43132999999943,0.0907,0.103739204417294,,S,S,1.9754669999993,0.0468,0.0980648763214202,NA
BG10114,18):,0,1,0.528320999999778,0.304,0.240550418519698,,,,NA,NA,NA,NA
BG10116,18):,0,1,2.51432999999997,0.0249,0.0414219840942246,C,S,CS,3.43775199999982,0.0087,0.0343155612099962,CS2
BG10118,18):,0,1,1.97233800000322,0.047,0.0655523768768702,,,,NA,NA,NA,NA
BG10119,18):,0,1,0.35092799999984,0.4022,0.295561450119982,,,,NA,NA,NA,NA
BG10120,18):,0,1,16.8755240000010,0,0,C,S,CS,0.126657999999225,0.6147,0.458533026541684,NA
BG10121,18):,0,1,18.5741369999996,0,0,C,S,CS,0.374560000000201,0.3868,0.378820827488442,NA
BG10122,18):,0,1,0.00174500000002809,0.9529,0.502829372790004,,,,NA,NA,NA,NA
BG10123,18):,0,1,0.921209999999974,0.1747,0.167647267748586,,,,NA,NA,NA,NA
BG10124,18):,0,1,0.316346000000522,0.4264,0.305748084868586,,,,NA,NA,NA,NA
BG10125,18):,0,1,0.384931999999935,0.3803,0.284097061044092,,,,NA,NA,NA,NA
BG10126,18):,0,1,1.96353199999999,0.0475,0.0656561430423445,,,,NA,NA,NA,NA
BG10130,18):,0,1,0.701274000000922,0.2363,0.207973603851064,,S,S,4.86443800000052,0.0018,0.0136390343103252,CS2
BG10131,18):,0,1,0.174892,0.5542,0.361490663875356,,,,NA,NA,NA,NA
BG10132,18):,0,1,0.574357000001328,0.2838,0.230978943045434,,,,NA,NA,NA,NA
BG10133,18):,0,1,4.59638699999959,0.0024,0.00685501350775073,C,S,CS,0.278323000000000,0.4556,0.410397595242524,NA
BG10134,18):,0,1,0.00573200000053475,0.9147,0.495179857444481,,,,NA,NA,NA,NA
BG10136,18):,0,1,0.226371000000654,0.501,0.339703577204483,,,,NA,NA,NA,NA
BG10137,18):,0,1,5.04371499999979,0.0015,0.0046106055318628,C,,C,2.86377999999968,0.0167,0.0546422422558861,NA
BG10138,18):,0,1,0.556331000000228,0.2915,0.234721921959209,,,,NA,NA,NA,NA
BG10139,18):,0,1,20.6996200000003,0,0,C,S,CS,2.02739799999927,0.044,0.0980648763214202,NA
BG10140,18):,0,1,0.124059000000670,0.6184,0.391282547403748,,,,NA,NA,NA,NA
BG10141,18):,0,1,1.06509699999992,0.1444,0.146462281902618,,S,S,0.57481000000007,0.2836,0.308144957978014,NA
BG10142,18):,0,1,0.0161240000002181,0.8575,0.480331832244066,,,,NA,NA,NA,NA
BG10143,18):,0,1,3.24179200000071,0.0109,0.0225264010433879,C,,C,0.0245729999996911,0.8246,0.532615502776152,NA
BG10144,18):,0,1,0.163871000000654,0.567,0.367067908133514,,,,NA,NA,NA,NA
BG10145,18):,0,1,6.03010499999982,5e-04,0.00199186247758108,C,S,CS,0.203196000000389,0.5238,0.4355328813626,NA
BG10146,18):,0,1,3.21570500000007,0.0112,0.0227580314217049,C,S,CS,0.0475750000000517,0.7577,0.506859425866539,NA
BG10147,18):,0,1,0.575918999999885,0.2832,0.230800831641847,,,,NA,NA,NA,NA
BG10148,18):,0,1,0.309128999999302,0.4317,0.306454463772348,,,,NA,NA,NA,NA
BG10149,18):,0,1,1.47464600000058,0.0859,0.100144716565153,,,,NA,NA,NA,NA
BG10150,18):,0,1,0.0222340000000258,0.833,0.470100316459366,,,,NA,NA,NA,NA
BG10151,18):,0,1,0.00852500000019063,0.8961,0.489722041257006,,,,NA,NA,NA,NA
BG10152,18):,0,1,3.10569699999996,0.0127,0.0249681254981982,C,S,CS,2.26735000000008,0.0332,0.0810122678244174,NA
BG10153,18):,0,1,4.30611699999963,0.0033,0.00892069838173812,C,S,CS,3.04579000000012,0.0136,0.0471797384978317,CS2
BG10154,18):,0,1,0.0387330000003203,0.7808,0.452435264725907,,,,NA,NA,NA,NA
BG10155,18):,0,1,0.728199000000131,0.2275,0.201990042447958,,,,NA,NA,NA,NA
BG10156,18):,0,1,0.780797999999777,0.2114,0.192783489818124,,,,NA,NA,NA,NA
BG10157,18):,0,1,0.009501999999884,0.8904,0.489256372424329,,,,NA,NA,NA,NA
BG10158,18):,0,1,0.0217300000003888,0.8349,0.470282622037082,,,,NA,NA,NA,NA
BG10159,18):,0,1,0.214759000000413,0.5122,0.344229207712738,,,,NA,NA,NA,NA
BG10161,18):,0,1,0.637540000000058,0.2588,0.220098565724982,,,,NA,NA,NA,NA
BG10162,18):,0,1,2.37320199999976,0.0294,0.0461203888073281,C,,C,0.362184999999954,0.3947,0.382653236077148,NA
BG10163,18):,0,1,0.225793999999951,0.5016,0.339703577204483,,,,NA,NA,NA,NA
BG10164,18):,0,1,0.695353999999952,0.2383,0.208823287750943,,,,NA,NA,NA,NA
BG10182,18):,0,1,0.0102559999995719,0.8861,0.487445835621756,,,,NA,NA,NA,NA
BG10185,18):,0,1,0.0347090000000208,0.7922,0.455178750341743,,,,NA,NA,NA,NA
BG10186,18):,0,1,0.311833000000661,0.4297,0.305748084868586,,,,NA,NA,NA,NA
BG10187,18):,0,1,0.376256999999896,0.3857,0.287271159546518,,,,NA,NA,NA,NA
BG10188,18):,0,1,0.880842000000484,0.1844,0.174041767637389,,,,NA,NA,NA,NA
BG10189,18):,0,1,2.38514799999939,0.029,0.0457298427144656,C,S,CS,4.80497100000139,0.0019,0.0140276107864028,CS2
BG10192,18):,0,1,5.61954199999946,8e-04,0.00288345806278404,C,,C,5.27912800000013,0.0012,0.0107975688290074,CS2
BG10193,18):,0,1,17.1909579999992,0,0,C,S,CS,0.148252000000866,0.5861,0.452864433447011,NA
BG10194,18):,0,1,0.0357750000002852,0.7891,0.454864823519771,,,,NA,NA,NA,NA
BG10197,18):,0,1,0.0960660000000644,0.6611,0.407651085859848,,,,NA,NA,NA,NA
BG10198,18):,0,1,0.0715139999992971,0.7053,0.425376119574833,,,,NA,NA,NA,NA
BG10200,18):,0,1,1.9061549999999,0.0509,0.0684741371450489,,,,NA,NA,NA,NA
