"id","NumOfSpecies","PAML","Outgroups","ConsistencywithSpceTree","Note","CheckAlignment","Clade","source","Bsu","Bmo","Bam","Bli","Bpu","Ban","Bce","Bth","Bwe","Bcl","Bha","Profile11"
"BG10012",,"NO",,"weird","multiple duplication","very poor",,"ids.tab","BG10012 BG11595 BG13779 BG13780 ","Bmo3201 ","RBAM_005880 RBAM_009440 RBAM_037610 ","NT03BL2052 NT03BL4618 ","BPUM_0868 ","BA_3121 ","NA","NT02BT3082 ","NA","NA","BH3888 ",
"BG10022",2,"NO",,,,"skip",,"ids.tab","BG10022 ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"BG10106",11,"YES","Bha, Bcl","nice",,"good",,"ids.tab","BG10106 ","Bmo2616 ","RBAM_000520 ","NT03BL0059 ","BPUM_0027 ","BA_0040 ","BC_0047 ","NT02BT0050 ","BcerKBAB4_0037 ","NT03BC0085 ","BH0058 ","Y"
"BG10275",11,"YES","Bha, Bcl",,,"good",,"ids.tab","BG10275 ","Bmo2839 ","RBAM_020960 ","NT03BL2566 ","BPUM_2011 ","BA_1530 ","BC_1509 ","NT02BT1543 ","BcerKBAB4_1433 ","NT03BC2159 ","BH1645 ","Y"
"BG10346",10,"YES","Bha, Bcl",,,"good",,"ids.tab","BG10346 ","NA","RBAM_025170 ","NT03BL3125 ","BPUM_2452 ","BA_4692 ","BC_4467 ","NT02BT4452 ","BcerKBAB4_4305 ","NT03BC2990 ","BH3042 ",
"BG10347",12,"YES","Bha, Bcl","OneOutlier","Remove BPUM_2890","fair",,"ids.tab.curated","BG10347 ","Bmo2699 ","RBAM_025160 ","NT03BL3124 ","BPUM_2451 ","BA_4691 ","BC_4466 ","NT02BT4451 ","BcerKBAB4_4304 ","NT03BC2987 ","BH3040 ","Y"
"BG10490",11,"YES","Bha","Bcl has problem and is removed; repeats","Remove NT03BC3017","fair",,"ids.tab.curated","BG10490 ","Bmo15 ","RBAM_006700 ","NT03BL0713 ","BPUM_0542 ","BA_1902 ","BC_1830 ","NT02BT1906 ","BcerKBAB4_1765 ","NA","BH2082 ",
"BG10491","8?","NO",,,"no outgroup","poor, repeat hit?",,"ids.tab","BG10491 ","NA","RBAM_033200 RBAM_033210 ","NA","NA","BA_0357 ","BC_0390 ","NT02BT0408 NT02BT0409 ","BcerKBAB4_0335 BcerKBAB4_0337 ","NA","NA",
"BG10493",10,"YES","Bha, Bcl",,,"good",,"ids.tab","BG10493 ","Bmo2896 ","RBAM_020350 ","NT03BL2496 ","NA","BA_1581 ","BC_1560 ","NT02BT1591 ","BcerKBAB4_1481 ","NT03BC2311 NT03BC3633 ","BH1767 ",
"BG10494",11,"YES","Bha, Bcl",,,"good(short Bmo)",,"ids.tab","BG10494 ","Bmo3297 ","RBAM_016870 ","NT03BL2026 ","BPUM_1607 ","BA_3906 ","BC_3770 ","NT02BT3754 ","BcerKBAB4_3541 ","NT03BC2506 ","BH2370 ","Y"
"BG10495",1,"NO",,,,"poor, repeat hit?",,"ids.tab","BG10495 ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"BG10496",7,"YES","Bha",,"no cereus","fair, repeats",,"ids.tab","BG10496 ","Bmo2056 ","RBAM_011790 ","NT03BL1349 ","BPUM_1108 ","NA","NA","NA","NA","NA","NA",
"BG10497",8,"YES","Bha, Bcl",,,"poor,repeats",,"ids.tab","BG10497 ","Bmo2055 ","RBAM_011780 ","NT03BL1348 ","BPUM_1107 ","NA","BC_2873 ","NA","NA","NT03BC2860 ","BH2191 ",
"BG10498",,"YES","none",,"classic duplication","good",,"ids.tab","BG10498","NA","RBAM_011760 ","NT03BL1345 ","BPUM_1105 ","BA_1234 ","BC_1218","NT02BT1268","BcerKBAB4_1128","NA","NA",
"BG10499",,"YES","none",,"classic duplication","good",,"ids.tab","BG10499 ","NA","RBAM_011750","NT03BL1343","BPUM_1103","BA_1238","BC_1222 ","NT02BT1272","BcerKBAB4_1132 ","NA","NA",
"BG10500",8,"YES","Bha, Bcl",,"Remove BPUM_1108, RBAM01190","poor, repeats",,"ids.tab.curated","BG10500 ","Bmo2054 ","RBAM_011770 ","NT03BL1346 ","BPUM_1106 ","NA","BC_2874","NA","NA","NT03BC2859 ","BH2192 ",
"BG10608",,"YES","Bha, Bcl?",,"Rm RBAM02400, NT03BL2502","good",,"ids.tab.curated","BG10608 ","NA","RBAM_035170 ","NT03BL4247 ","BPUM_3438 ","BA_5641 ","BC_5391 ","NT02BT5378 ","BcerKBAB4_5184 ","NT03BC4431 ","BH3827 ",
"BG10776",4,"NO","Bha,Bcl",,,"good, short seq",,"ids.tab","BG10776 ","NA","RBAM_015640 ","NA","BPUM_1480 ","NA","NA","NA","NA","NA","BH2501 ",
"BG10946",11,"YES","Bha,Bcl","nice",,"good",,"ids.tab","BG10946 ","Bmo66 ","RBAM_028330 ","NT03BL3496 ","BPUM_2792 ","BA_4173 ","BC_3963 ","NT02BT3948 ","BcerKBAB4_3789 ","NT03BC2509 ","BH3970 ","Y"
"BG11017",4,"NO",,,,"good,repeats",,"ids.tab","BG11017 ","NA","RBAM_033230 ","NT03BL1236 ","NA","NA","NA","NA","BcerKBAB4_1895 ","NA","NA",
