NT03BL1227	BG13088
NT03BL3125	BG10346
NT03BL0713	BG10490
NT03BL2566	BG10275
NT03BL1120	BG13036
NT03BL2037	BG13506
NT03BL2053	BG12181
NT03BL1006	BG12236
NT03BL3468	BG13484
NT03BL3093	BG13781
NT03BL1121	BG13035
NT03BL1235	BG11791
NT03BL3124	BG10347
NT03BL3617	BG14044
NT03BL1720	BG12251
NT03BL1007	BG11811
NT03BL0059	BG10106
NT03BL3661	BG14013
NT03BL0429	BG11187
NT03BL2355	BG13104
NT03BL2432	BG11197
NT03BL3496	BG10946
NT03BL1342	BG13153
NT03BL1236	BG11017
NT03BL1215	BG11801
NT03BL2026	BG10494
NT03BL4247	BG10608
NT03BL1346	BG10500
NT03BL1698	BG13288
NT03BL1345	BG10498
NT03BL4618	BG10012
NT03BL3511	BG13822
NT03BL1343	BG10499
NT03BL1569	BG13084
NT03BL0347	BG11172
NT03BL4304	BG12512
NT03BL1804	BG13356
NT03BL2146	BG11822
NT03BL1349	BG10496
NT03BL2502	BG11448
NT03BL2062	BG13415
NT03BL3561	BG14052
NT03BL2472	BG11609
NT03BL1348	BG10497
NT03BL1214	BG11800
NT03BL2492	BG13471
NT03BL2857	BG11666
NT03BL2411	BG13537
NT03BL1213	BG11799
NT03BL2496	BG10493
NT03BL1125	BG13000
