BCE33L2122	BG13088
BCE33L4204	BG10346
BCE33L1391	BG10275
BCE33L0758	BG13036
BCE33L1742	BG13506
BCE33L0453	BG12236
BCE33L4172	BG13781
BCE33L0328	BG10491
BCE33L4513	BG11381
BCE33L0759	BG13035
BCE33L1852	BG11791
BCE33L4203	BG10347
BCE33L4680	BG14044
BCE33L2891	BG11194
BCE33L0454	BG11811
BCE33L0038	BG10106
BCE33L4708	BG14013
BCE33L0753	BG11187
BCE33L4530	BG13104
BCE33L3723	BG10946
BCE33L1114	BG13153
BCE33L0701	BG11801
BCE33L3529	BG10494
BCE33L5089	BG10608
BCE33L2603	BG10500
BCE33L2830	BG10012
BCE33L1115	BG10499
BCE33L2032	BG12167
BCE33L5088	BG11172
BCE33L3696	BG13356
BCE33L3323	BG11822
BCE33L1437	BG11448
BCE33L0537	BG13415
BCE33L3244	BG11881
BCE33L1472	BG11609
BCE33L2604	BG10497
BCE33L0702	BG11800
BCE33L4033	BG11666
BCE33L3289	BG13537
BCE33L0703	BG11799
BCE33L1438	BG10493
BCE33L0775	BG13000
