	B.anthracis.Ames	B.cereus.ATCC14579	B.cereus.E33L	B.cereus.ATCC10987	B.thuringiensis	B.weihenstephanensis	B.subtilis168	B.amyloliquefaciens	B.licheniformis	B.pumilus	B.claussi	B.halodurans	
B.anthracis.Ames	NA	1	1	1	1	1	1	1	1	1	1	1
B.cereus.ATCC14579	1	NA	1	1	1	1	1	1	1	1	1	1
B.cereus.E33L	1	1	NA	1	1	1	1	1	1	1	1	1
B.cereus.ATCC10987	1	1	1	NA	1	1	1	1	1	1	1	1
B.thuringiensis	1	1	1	1	NA	1	1	1	1	1	1	1
B.weihenstephanensis	1	1	1	1	1	NA	1	1	1	1	1	1
B.subtilis168	1	1	1	1	1	1	NA	1	1	1	1	1
B.amyloliquefaciens	1	1	1	1	1	1	1	NA	1	1	1	1
B.licheniformis	1	1	1	1	1	1	1	1	NA	1	1	1
B.pumilus	1	1	1	1	1	1	1	1	1	NA	1	1
B.claussi	1	1	1	1	1	1	1	1	1	1	NA	1
B.halodurans	1	1	1	1	1	1	1	1	1	1	1	NA
