BCE_4731	BG12557
BCE_4258	BG11383
BCE_4257	BG11384
BCE_4732	BG13926
BCE_3892	BG11536
BCE_0270	BG12089
BCE_0131	BG10446
BCE_4471	BG12563
BCE_0272	BG10950
BCE_5493	BG11341
BCE_3838	BG10783
BCE_4685	BG10958
BCE_4485	BG12572
BCE_1666	BG11206
BCE_1665	BG11208
BCE_3863	BG12575
BCE_1623	BG11004
BCE_5118	BG14009
BCE_0602	BG11802
BCE_0089	BG10156
BCE_3836	BG10785
BCE_1661	BG11207
BCE_5074	BG14048
BCE_0265	BG11932
BCE_2267	BG10795
BCE_3954	BG10229
BCE_0058	BG10125
BCE_0001	BG10065
BCE_4710	BG10358
BCE_5618	BG10004
BCE_1675	BG10957
BCE_4735	BG12583
BCE_4374	BG10313
BCE_4709	BG10359
BCE_0002	BG10066
BCE_0020	BG10083
BCE_3862	BG13409
BCE_4249	BG11715
BCE_5238	BG10899
BCE_4380	BG11188
BCE_3894	BG11836
BCE_1294	BG13128
BCE_3893	BG11535
BCE_5465	BG10412
BCE_3887	BG10830
BCE_3908	BG11937
BCE_4254	BG11711
BCE_3865	BG12587
BCE_3952	BG10231
BCE_3963	BG10220
BCE_3995	BG13352
BCE_3889	BG11539
BCE_3951	BG10232
BCE_0107	BG11939
BCE_0350	BG12839
BCE_0351	BG12840
BCE_0349	BG12838
BCE_0047	BG10113
BCE_0282	BG12202
BCE_0158	BG10948
BCE_0087	BG10154
BCE_5441	BG10944
BCE_3914	BG13386
BCE_1632	BG11366
BCE_0289	BG10423
BCE_0288	BG10422
BCE_0009	BG10073
BCE_0006	BG10071
BCE_0005	BG10070
BCE_1637	BG10276
BCE_1639	BG10279
BCE_1641	BG10281
BCE_4486	BG12605
BCE_0029	BG10095
BCE_0062	BG10131
BCE_3940	BG11792
BCE_0133	BG11043
BCE_3851	BG10268
BCE_4706	BG11944
BCE_0043	BG10109
BCE_4882	BG10676
BCE_0335	BG12835
BCE_0075	BG10144
BCE_0132	BG10447
BCE_3198	BG10552
BCE_5013	BG10686
BCE_5011	BG13847
BCE_5015	BG10683
BCE_5012	BG10687
BCE_1640	BG10280
BCE_4914	BG11840
BCE_0036	BG10101
BCE_3959	BG10224
BCE_4544	BG10326
BCE_4543	BG10327
BCE_5417	BG12355
BCE_5416	BG12345
BCE_5412	BG11955
BCE_3955	BG10228
BCE_4830	BG10973
BCE_3958	BG10225
BCE_3960	BG10223
BCE_0266	BG12084
BCE_3956	BG10227
BCE_2075	BG10694
BCE_1471	BG11405
BCE_3854	BG10265
BCE_4532	BG10337
BCE_1379	BG10273
BCE_3616	BG11803
BCE_3617	BG11804
BCE_3962	BG10221
BCE_0334	BG12834
BCE_4021	BG10207
BCE_4730	BG12644
BCE_5241	BG11062
BCE_5239	BG10898
BCE_3816	BG11373
BCE_4687	BG10874
BCE_4686	BG10875
BCE_3895	BG11843
BCE_3859	BG10263
BCE_2854	BG10014
BCE_5456	BG11244
BCE_5293	BG10742
BCE_3911	BG11963
BCE_3860	BG12659
BCE_0048	BG10114
